filepath,filename,width,height,n_pixels,n_unique_colors,file_size_bytes,entropy_bits,O_rank_by_entropy
".\data\images\Historical_Tin_by_Desjardin_Metal_Packaging,_France.jpg","Historical_Tin_by_Desjardin_Metal_Packaging,_France.jpg",640,480,307200,21674,15263,2.7945577184226416,1
.\data\images\Pouva_Start_schraegfrontal_links_Sucher_und_Objektiv_offen_2022.jpg,Pouva_Start_schraegfrontal_links_Sucher_und_Objektiv_offen_2022.jpg,640,426,272640,9004,21975,3.0570164343508544,2
.\data\images\2019101602_Locher_Rueckseite_Schraegansicht_2019.jpg,2019101602_Locher_Rueckseite_Schraegansicht_2019.jpg,640,427,273280,8834,17932,3.311248275399121,3
.\data\images\Pataliputra_capital_(white_background).jpg,Pataliputra_capital_(white_background).jpg,640,558,357120,256,97870,3.721058720704504,4
.\data\images\Cherry_Stella444.jpg,Cherry_Stella444.jpg,640,640,409600,35001,28943,4.055047706993619,5
.\data\images\Black_Leather_Hermes_Shoulder_Bag_-_DPLA_-_0b27d01782af4c0fe73446eebd53b05a_(page_1).jpg,Black_Leather_Hermes_Shoulder_Bag_-_DPLA_-_0b27d01782af4c0fe73446eebd53b05a_(page_1).jpg,640,427,273280,5329,22021,4.178075938163641,6
.\data\images\IPhone_SE_4.7__product_red_back.jpg,IPhone_SE_4.7__product_red_back.jpg,640,533,341120,21721,25206,4.593959251686739,7
.\data\images\PlayStation-SCPH-1000-with-Controller.jpg,PlayStation-SCPH-1000-with-Controller.jpg,640,278,177920,2900,24048,5.0427630632077305,8
.\data\images\Northbridge_Street_Slip.JPG,Northbridge_Street_Slip.JPG,640,427,273280,37747,38618,5.711669005403129,9
.\data\images\Hammer-Fäustel-spanische_Form-1500gr_1.JPG,Hammer-Fäustel-spanische_Form-1500gr_1.JPG,640,792,506880,11724,30315,6.018708052846263,10
.\data\images\IPhone_SE_4.7__product_red_front.jpg,IPhone_SE_4.7__product_red_front.jpg,640,536,343040,18721,23904,6.0952201087364735,11
.\data\images\2019101601_Locher_2019.jpg,2019101601_Locher_2019.jpg,640,427,273280,7898,21653,6.100699436089605,12
.\data\images\Mahr_Micromar_40A_0–25_mm_Micrometer.jpg,Mahr_Micromar_40A_0–25_mm_Micrometer.jpg,640,302,193280,9071,29614,6.152616566977564,13
".\data\images\Black_Titanium_Frame_Eyeglasses,_JINS_MTF-16S-151B,_2.jpg","Black_Titanium_Frame_Eyeglasses,_JINS_MTF-16S-151B,_2.jpg",640,427,273280,4647,21686,6.522305984741251,14
.\data\images\Tree_and_treetops_in_a_snowy_field.jpg,Tree_and_treetops_in_a_snowy_field.jpg,640,427,273280,1263,20886,6.555587976032172,15
.\data\images\640px-Bob_Barker_1958_Truth_or_Consequences_headshot.jpg,640px-Bob_Barker_1958_Truth_or_Consequences_headshot.jpg,640,865,553600,256,63314,6.793777873422982,16
.\data\images\Veronica_Lake_still_2.jpg,Veronica_Lake_still_2.jpg,640,793,507520,256,120565,7.204755257141148,17
.\data\images\Black_Leather_Coat_of_Charles_A._Lindbergh_-_DPLA_-_eec840e73527f044387d2568bbdb7f20_(page_31).jpg,Black_Leather_Coat_of_Charles_A._Lindbergh_-_DPLA_-_eec840e73527f044387d2568bbdb7f20_(page_31).jpg,640,427,273280,4591,33351,7.206905858778768,18
.\data\images\Ricardo_Cortés.jpg,Ricardo_Cortés.jpg,640,778,497920,256,54520,7.230670913692171,19
.\data\images\Red_Christmas_present_on_white_background.jpg,Red_Christmas_present_on_white_background.jpg,640,444,284160,33326,56151,7.272312383231946,20
.\data\images\Cameron_Mitchell_studio_portrait_c._1940s.jpg,Cameron_Mitchell_studio_portrait_c._1940s.jpg,640,727,465280,256,81851,7.436204432008256,21
".\data\images\Dülmen,_Kirchspiel,_Bauerschaft_Börnste_--_2021_--_4406_(bw).jpg","Dülmen,_Kirchspiel,_Bauerschaft_Börnste_--_2021_--_4406_(bw).jpg",640,427,273280,256,136315,7.467455646576296,22
.\data\images\Prince_1980_(cropped).jpg,Prince_1980_(cropped).jpg,640,842,538880,251,92895,7.496901335386593,23
.\data\images\640px-William_Haines.jpg,640px-William_Haines.jpg,640,851,544640,221,48363,7.501650304612305,24
.\data\images\Mahr_Millimess_1003_4334000_mechanical_dial_comparator.jpg,Mahr_Millimess_1003_4334000_mechanical_dial_comparator.jpg,640,854,546560,44002,69888,7.5053264820197425,25
.\data\images\Winter_Cotswold_landscape_-_geograph.org.uk_-_1164655.jpg,Winter_Cotswold_landscape_-_geograph.org.uk_-_1164655.jpg,640,426,272640,6281,28729,7.590588216062897,26
.\data\images\Lana_Turner_-_Marriage_is_a_Private_Affair_portrait_(cropped).jpg,Lana_Turner_-_Marriage_is_a_Private_Affair_portrait_(cropped).jpg,640,634,405760,256,111124,7.5911043692299405,27
.\data\images\Janet_Leigh_-_Red_Danube_portrait.jpg,Janet_Leigh_-_Red_Danube_portrait.jpg,640,793,507520,2480,55297,7.781255437781388,28
.\data\images\640px-Studio_publicity_Susan_Hayward.jpg,640px-Studio_publicity_Susan_Hayward.jpg,640,852,545280,256,63344,7.849956635900128,29
.\data\images\Keith_Jarrett.jpg,Keith_Jarrett.jpg,640,757,484480,256,92035,7.853092206947277,30
.\data\images\Croome_Park_in_snow_-_geograph.org.uk_-_335112.jpg,Croome_Park_in_snow_-_geograph.org.uk_-_335112.jpg,640,426,272640,6216,25473,7.85422643681216,31
.\data\images\Studio_publicity_Kirk_Douglas.jpg,Studio_publicity_Kirk_Douglas.jpg,640,799,511360,256,91029,7.886710679460894,32
.\data\images\North_Field_in_the_February_Snow_-_geograph.org.uk_-_335078.jpg,North_Field_in_the_February_Snow_-_geograph.org.uk_-_335078.jpg,640,427,273280,7294,57247,8.267110445829358,33
.\data\images\Snow_covered_hill_in_gray_scale_(Unsplash).jpg,Snow_covered_hill_in_gray_scale_(Unsplash).jpg,640,480,307200,8975,64483,8.324692615147264,34
.\data\images\King_Street_Sneak.JPG,King_Street_Sneak.JPG,640,446,285440,45679,37984,8.403162609399294,35
.\data\images\Snow_Covered_Landscape_-_geograph.org.uk_-_2802707.jpg,Snow_Covered_Landscape_-_geograph.org.uk_-_2802707.jpg,640,480,307200,24140,59918,8.491787720247384,36
.\data\images\640px-Burger_King_Poké_Ball_-_closed.jpg,640px-Burger_King_Poké_Ball_-_closed.jpg,640,742,474880,45233,49301,9.16690713123148,37
.\data\images\GB_Network_PCI_Card.jpg,GB_Network_PCI_Card.jpg,640,404,258560,47590,58516,9.36979389767917,38
".\data\images\A562,_Philadelphia,_Pennsylvania,_United_States,_city_skyline_at_night_from_Spring_Garden_Street_Bridge,_2017.jpg","A562,_Philadelphia,_Pennsylvania,_United_States,_city_skyline_at_night_from_Spring_Garden_Street_Bridge,_2017.jpg",640,256,163840,27651,36979,9.394079721901798,39
.\data\images\Simple_landscape_-_geograph.org.uk_-_1153862.jpg,Simple_landscape_-_geograph.org.uk_-_1153862.jpg,640,426,272640,8939,50373,9.50473208666478,40
".\data\images\Cleared_Landscape,_Sutherland_-_geograph.org.uk_-_5623805.jpg","Cleared_Landscape,_Sutherland_-_geograph.org.uk_-_5623805.jpg",640,360,230400,16066,47086,9.556573834053221,41
.\data\images\Ona_Munson_(1929_portrait).jpg,Ona_Munson_(1929_portrait).jpg,640,701,448640,3506,54664,9.64196858153252,42
.\data\images\Amanda_Edwards_headshot_(1).jpg,Amanda_Edwards_headshot_(1).jpg,640,853,545920,23512,59371,9.652986957948329,43
.\data\images\Barbara_Ann_Wilcox_Kennedy_High_School_1971A.jpg,Barbara_Ann_Wilcox_Kennedy_High_School_1971A.jpg,640,835,534400,5147,49136,9.879503375146463,44
.\data\images\Auckland_City_^_Skytower_at_night_-_Flickr_-_111_Emergency_(1).jpg,Auckland_City_^_Skytower_at_night_-_Flickr_-_111_Emergency_(1).jpg,640,426,272640,31344,31423,10.051179088585831,45
".\data\images\Snowy_Landscape,_west_of_Rhydgaled_-_geograph.org.uk_-_1157925.jpg","Snowy_Landscape,_west_of_Rhydgaled_-_geograph.org.uk_-_1157925.jpg",640,480,307200,10557,49940,10.163038166093,46
".\data\images\640px-Killpecker_Sand_Dunes_(Leucite_Hills,_north_of_Rock_Springs,_Wyoming,_USA)_22_(48921610572).jpg","640px-Killpecker_Sand_Dunes_(Leucite_Hills,_north_of_Rock_Springs,_Wyoming,_USA)_22_(48921610572).jpg",640,335,214400,24011,44890,10.52552073380217,47
".\data\images\640px-Western_Desert,_Sand_dunes,_Dakhla,_Egypt.jpg","640px-Western_Desert,_Sand_dunes,_Dakhla,_Egypt.jpg",640,427,273280,7968,54671,10.657003056542797,48
.\data\images\Alex_Quaison_Sackey_(portrait).jpg,Alex_Quaison_Sackey_(portrait).jpg,640,887,567680,16833,191940,10.702128733459285,49
.\data\images\Hedge_in_winter.jpg,Hedge_in_winter.jpg,640,446,285440,34762,101615,10.911095024711503,50
.\data\images\Simple_landscape_-_geograph.org.uk_-_1155374.jpg,Simple_landscape_-_geograph.org.uk_-_1155374.jpg,640,427,273280,14694,61174,10.990132545020252,51
